,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
14783,14784,B000S859NC,A2H7STZ2URUCOE,"Christopher Whedon ""the odd bead""",0,0,5,1970-01-01 00:00:01.351209600,GREAT TEA,"Rooibos Natural Red tea is something of a personal taste! It has an interesting flavor as all things that are good for you do! I prefer to add a little cinnamon to mine. It is known to be used for people who get GOUT and since I do , I have had no incidents since drinking this tea! If it works, use it! It is a good tea and caffeine free. Some prefer it with sugar!Give it a try too for it's calming effect!"
440485,440486,B002ZOCEMG,A1LIP0F4R542OQ,A,0,0,1,1970-01-01 00:00:01.351209600,:(,I just got this coffee a few days ago. I had coffee with this bean yesterday and today morning. I can't like this coffee even if I'm trying so hard to like this coffee.
535436,535437,B001EO5RSQ,A33W5JAFGHYRQZ,"ghermine ""ghermine""",0,0,5,1970-01-01 00:00:01.351209600,Love this Cereal!,"There is nothing else like this on the market.  No GMO, highest fiber of any cereal I can find and high protein.  It keeps me healthy.  I won't eat any other cereals, mostly junk."
7820,7821,B000HB9TLI,A353IAF5Y1XE53,"J. RIGOR ""shop mama""",0,0,1,1970-01-01 00:00:01.351209600,Don't like the taste,I do not like sour taste and this has a sour kind of taste which i don't like. The smell isn't that great either
146094,146095,B000SDKDM4,A18NG9I9MT2V8I,"Emm ""Emm""",0,0,5,1970-01-01 00:00:01.351209600,Deeeee-lish!,"For far too long I was a devotee of the Starbucks roast.  This is so much better.  Rich, tasty, strong coffee without the BITTER bite.  Lovely crema.  Works great in my automatic espresso machine, too.  Love, love. love Lavazza."
455890,455891,B008K9TOU0,A3AE4G41HPLMP,ginger walsh,0,0,5,1970-01-01 00:00:01.351209600,Newman's own Organics Decaf Cups,"newman's Own Organics Special Decaf hasGreat flavor,not bitter at all.Excellent! Would definitely order again.Wish price was a little less pricey."
153490,153491,B000ILEITA,A2CYN807KI4S4,Glen,0,0,5,1970-01-01 00:00:01.351209600,"Blue Dog Bakery Natural Low Fat Dog Treats, Assorted Flavors","My dog loves these treats and I love the fact that they are natural and low fat.  I did have difficulty getting them though.  The USPS completely dropped the ball on this.  The first order they lost and couldn't/wouldn't find until Amazon called them.  Then they miraculously found them and said that they would deliver within a week.  That was two weeks into a guaranted 2-day delivery.  I reordered and got the new order in before the scheduled delivery date.  Well, the scheduled delivery date came and went with no dog treats and no call from the USPS.  Amazon did reimburse me for the first order though.  In summary...treats good...USPS...sucks!  Is there any alternative shipping methods available?"
210947,210948,B004281MKI,A1LOWH0EG7X3HR,CT Woods-Powell,0,0,5,1970-01-01 00:00:01.351209600,Yummy,You can taste the butter.  The peanuts are fresh.  Each piece of See's Peanut Brittle is a nice size and the flavor is yummy.  If you are a prime member it ships at no additional charge.  Great deal!
281499,281500,B0029NQNWU,A1HKHIP6VCMALP,Over 50,0,0,3,1970-01-01 00:00:01.351209600,Our dogs love it but finding low price and 12 oz cans is tough,"When Amazon LLC was selling large cans it was affordable via super saving shipping.  You expect a price reduction when buying large size cans.  One quarter of these cans was only partially filled with chunks, having an inch of fluid before touching the meat product.  I shake each of these large cans before opening one.  We prefer the smaller cans of this product, but local chains do not carry it in either size, and Amazon only offers it in large.  Our dogs love the pedigree brand pouches and cans, especially the beef and liver.  Although, they use corn product (one reviewer noted) and my veterinarian espouses ""...it's mostly water,"" our dogs vote is positive.  We treat our pets and give this to them because they like it...not for their health.<br /><br />After finding the substantial price increase this morning, I found the small cans at PetCo.  Perhaps, Amazon will get a small can supplier for the ""beef and liver"" chunks in the future."
526673,526674,B007PA30TG,A29BJSTYH9W3JI,Harry,0,0,5,1970-01-01 00:00:01.351209600,super coffee,Great coffee and so easy to brew.  This coffee has great aroma and is good to the last drop.  I actually like all the brands.  This is the way coffee should taste!!
286809,286810,B001EPPXRK,A1L1T27A33DDP6,Quietwolf,0,0,5,1970-01-01 00:00:01.351209600,"Colorado Spice Orange Peel, Fine Cut",It was more then I needed but I'm glad I bought in bulk. This product is as described and saves me the time of removing the pith and cutting the peel myself. I like the flavor the orange adds to my cooking and so do my wife and kids. Thank you for this great time and money saving product.
323382,323383,B004AWV49U,A92RW3QSICGK,"Jeannette M. Shields ""#1 golfer""",0,0,3,1970-01-01 00:00:01.351209600,Hot Apple Cider,"This was very good for the most part. I like to drink it in the chilly mornings we've had lately (in Vermont). The only bad thing is sometimes if I don't drink it fast enough, I end up with the residue which isn't that good.<br />I appreciate it being sent to me in a timely manner."
